Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Alexandre Song,West Ham United,Midfielder,14,32,0,0,0,16,79,19,52,2,0,2,0,93,32,61,Alexandre Song
Didier Drogba,Chelsea,Forward,16,67,3,38,0,10,68,15,46,1,1,1,0,92.68,67,25.68,Didier Drogba
Luke Shaw,Manchester United,Defender,10,106,0,100,0,5,84,19,55,5,0,0,0,89.75,106,-16.25,Luke Shaw
Ander Herrera,Manchester United,Midfielder,11,320,2,29,0,13,87,16,59,2,1,2,0,89,320,-231,Ander Herrera
Marouane Fellaini,Manchester United,Midfielder,12,216,2,53,0,5,87,16,49,4,0,3,0,88,216,-128,Marouane Fellaini
Falcao,Manchester United,Forward,12,170,3,65,0,10,86,12,37,1,0,1,0,87.72,170,-82.28,Falcao
Mamadou Sakho,Liverpool,Defender,8,146,0,50,0,3,89,20,57,7,2,0,0,86.25,146,-59.75,Mamadou Sakho
Ashley Young,Manchester United,Midfielder,13,243,0,60,0,11,81,18,48,4,0,4,0,86,243,-157,Ashley Young
Rafael,Manchester United,Defender,9,22,0,0,0,6,84,16,49,6,1,2,0,85.5,22,63.5,Rafael
Ben Davies,Tottenham Hotspur,Defender,9,84,0,0,0,7,81,16,54,5,0,2,0,85.25,84,1.25,Ben Davies
Michael Carrick,Manchester United,Midfielder,12,317,0,0,0,4,90,20,56,5,0,1,0,85,317,-232,Michael Carrick
Javier Manquillo,Liverpool,Defender,10,73,0,0,0,1,83,17,54,6,0,3,0,84.75,73,11.75,Javier Manquillo
Andrés Iniesta,Barcelona,Midfielder,12,254,0,25,0,15,90,16,56,1,2,2,0,83,254,-171,Andrés Iniesta
Rickie Lambert,Liverpool,Forward,16,7,1,40,0,6,69,15,44,0,0,0,0,82.84,7,75.84,Rickie Lambert
Raphael Varane,Real Madrid,Defender,9,133,0,25,0,0,89,18,58,6,1,0,0,82,133,-51,Raphael Varane
André Schürrle,Chelsea,Midfielder,13,102,2,45,0,5,79,15,43,1,0,2,0,81,102,-21,André Schürrle
Álvaro Arbeloa,Real Madrid,Defender,11,135,0,100,0,8,87,16,52,2,2,3,0,81,135,-54,Álvaro Arbeloa
Luis Suárez,Barcelona,Forward,10,252,2,43,0,24,77,12,46,1,0,1,0,79.075,252,-172.925,Luis Suárez
Etienne Capoue,Tottenham Hotspur,Midfielder,12,275,0,50,0,4,87,20,42,5,0,2,0,79,275,-196,Etienne Capoue
Tyler Blackett,Manchester United,Defender,9,63,0,0,0,0,85,22,54,7,1,3,1,79,63,16,Tyler Blackett
James Ward-Prowse,Southampton,Midfielder,11,155,0,45,0,20,90,19,33,1,0,0,0,78,155,-77,James Ward-Prowse
Bacary Sagna,Manchester City,Defender,6,61,0,0,0,6,80,16,54,7,0,1,0,77.5,61,16.5,Bacary Sagna
Patrick McNair,Manchester United,Defender,9,78,0,0,0,2,85,22,38,7,1,1,0,77.5,78,-0.5,Patrick McNair
Daley Blind,Manchester United,Midfielder,9,285,1,38,0,8,89,19,52,6,2,3,0,77,285,-208,Daley Blind
Jonny Evans,Manchester United,Defender,9,166,0,0,0,0,86,21,51,6,4,1,0,77,166,-89,Jonny Evans
Jack Cork,Southampton,Midfielder,11,144,2,67,0,5,87,17,47,1,0,0,0,76,144,-68,Jack Cork
Emre Can,Liverpool,Midfielder,10,166,1,50,0,5,85,18,58,4,0,1,0,76,166,-90,Emre Can
Luka Modric,Real Madrid,Midfielder,10,326,1,50,0,12,90,18,51,2,0,2,0,76,326,-250,Luka Modric
Aleksandar Kolarov,Manchester City,Defender,11,164,0,0,0,9,81,22,36,3,0,3,0,75.75,164,-88.25,Aleksandar Kolarov
Kolo Touré,Liverpool,Defender,8,113,0,0,0,1,89,19,43,7,0,0,0,74.75,113,-38.25,Kolo Touré
Nabil Bentaleb,Tottenham Hotspur,Midfielder,11,145,0,17,0,5,86,17,49,4,0,2,0,74,145,-71,Nabil Bentaleb
Mousa Dembélé,Tottenham Hotspur,Midfielder,12,118,0,0,0,6,88,15,46,1,0,0,0,73,118,-45,Mousa Dembélé
Lucas Leiva,Liverpool,Midfielder,11,128,0,50,0,6,86,18,37,5,0,3,0,73,128,-55,Lucas Leiva
Emmanuel Adebayor,Tottenham Hotspur,Forward,10,86,2,64,0,12,76,13,41,1,0,1,0,72.1,86,-13.9,Emmanuel Adebayor
Andy Carroll,West Ham United,Forward,11,176,4,33,0,10,64,14,52,2,0,1,0,71.915,176,-104.085,Andy Carroll
Joe Allen,Liverpool,Midfielder,11,85,0,0,0,7,89,16,52,2,0,2,0,71,85,-14,Joe Allen
Mike van der Hoorn,Ajax,Defender,6,153,2,50,0,0,86,20,59,5,0,1,0,71,153,-82,Mike van der Hoorn
Olivier Giroud,Arsenal,Forward,10,125,5,50,0,6,70,11,45,1,1,1,1,70.25,125,-54.75,Olivier Giroud
Roberto Soldado,Tottenham Hotspur,Forward,13,27,1,35,0,8,74,13,32,1,0,1,0,70.02,27,43.02,Roberto Soldado
Adnan Januzaj,Manchester United,Midfielder,11,13,0,9,0,9,82,14,49,1,1,0,0,70,13,57,Adnan Januzaj
John Obi Mikel,Chelsea,Midfielder,12,92,0,0,0,2,91,17,38,2,1,0,0,70,92,-22,John Obi Mikel
Ramires,Chelsea,Midfielder,11,49,1,20,0,8,85,16,35,1,0,2,0,69,49,20,Ramires
Asier Illarramendi,Real Madrid,Midfielder,11,115,0,0,0,4,91,16,38,3,0,1,0,69,115,-46,Asier Illarramendi
Carlton Cole,West Ham United,Forward,11,14,2,80,0,4,52,14,32,1,0,0,0,68.87,14,54.87,Carlton Cole
Joey O'Brien,West Ham United,Defender,5,44,0,0,0,5,85,16,48,7,0,2,0,67.75,44,23.75,Joey O'Brien
Vlad Chiriches,Tottenham Hotspur,Defender,6,16,0,0,0,3,82,19,43,7,0,2,0,67.25,16,51.25,Vlad Chiriches
Edin Dzeko,Manchester City,Forward,11,106,2,31,0,7,81,14,41,1,0,0,0,65.5725,106,-40.4275,Edin Dzeko
Lazar Markovic,Liverpool,Forward,11,102,1,22,0,12,80,15,56,1,0,0,0,63.85,102,-38.15,Lazar Markovic
Darren Fletcher,Manchester United,Midfielder,11,54,0,0,0,2,90,18,46,1,1,1,0,63,54,9,Darren Fletcher
Filipe Luis,Chelsea,Defender,9,68,0,50,0,5,85,18,50,1,0,0,0,61.75,68,-6.25,Filipe Luis
Mario Balotelli,Liverpool,Forward,12,113,0,55,0,5,71,14,39,1,0,4,0,60.67,113,-52.33,Mario Balotelli
Mesut Özil,Arsenal,Midfielder,7,196,1,43,0,14,88,15,51,1,0,0,0,60,196,-136,Mesut Özil
Nani,Sporting Lisbon,Midfielder,5,271,4,44,0,17,79,17,47,0,0,2,0,60,271,-211,Nani
Dedryck Boyata,Manchester City,Defender,1,23,0,0,0,0,87,17,53,11,0,1,0,59,23,36,Dedryck Boyata
Aaron Lennon,Tottenham Hotspur,Midfielder,9,61,0,0,0,9,85,14,46,1,0,1,0,58,61,-3,Aaron Lennon
Jack Wilshere,Arsenal,Midfielder,9,123,1,71,0,7,83,16,47,1,0,4,0,58,123,-65,Jack Wilshere
Nacho,Real Madrid,Defender,5,129,1,100,0,1,94,17,47,5,0,0,0,57.75,129,-71.25,Nacho
Florin Gardos,Southampton,Defender,7,56,0,0,0,0,82,22,42,5,0,1,0,57,56,1,Florin Gardos
