Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points,PointsMod
Adil Rami,Milan,Defender,14,281,1,75,0,4,82,23,60,8,0,3,0,134.0,116
Adil Rami,Milan,Defender,14,281,1,75,0,4,82,23,60,8,0,3,0,134.0,116
Adil Rami,Milan,Defender,14,281,1,75,0,4,82,23,60,8,0,3,0,134.0,116
Adil Rami,Milan,Defender,14,281,1,75,0,4,82,23,60,8,0,3,0,134.0,116
Zlatan Ibrahimovic,Paris Saint Germain,Forward,12,498,8,75,0,11,78,14,52,1,0,0,0,110.56,116
Hugo Lloris,Tottenham Hotspur,Goalkeeper,21,194,5,1.38,0,2.67,2,95,62,65,41,0,0,100.4,115
Pepe,Real Madrid,Defender,14,382,1,20,0,5,85,20,58,7,0,0,0,131.9,115
David Pizarro,Fiorentina,Midfielder,15,286,0,0,0,19,87,23,50,3,2,3,0,106.375,115
Valère Germain,Monaco,Forward,20,68,2,42,0,8,72,15,41,1,0,0,0,109.4,115
Sergio Ramos,Real Madrid,Defender,14,470,2,47,0,3,89,21,57,9,1,6,0,137.5,115
Sadio Mané,Southampton,Midfielder,14,229,4,47,0,18,83,14,48,1,0,3,0,111.85,115
Xavi,Barcelona,Midfielder,14,472,1,50,0,24,93,16,58,1,0,1,0,111.85,115
Jetro Willems,PSV,Defender,12,307,1,33,0,30,81,22,45,5,0,4,0,139.5,115
Sven van Beek,Feyenoord,Defender,14,517,1,50,0,4,90,23,58,10,2,3,0,142.1,114
Jens Toornstra,Feyenoord,Midfielder,11,358,4,44,0,29,81,20,54,1,0,0,0,111.125,114
Giorgio Chiellini,Juventus,Defender,15,423,0,0,0,8,88,19,51,9,0,4,0,136.0,114
Adam Lallana,Liverpool,Midfielder,14,232,4,64,0,16,82,15,49,1,0,2,0,110.85,114
Grzegorz Krychowiak,Sevilla,Midfielder,16,366,0,36,0,4,80,19,52,5,0,5,0,98.8,114
Frank Lampard,Manchester City,Midfielder,16,223,5,73,0,2,84,15,40,1,0,1,0,110.6,114
Fredy Guarín,Internazionale,Midfielder,13,309,2,39,0,26,75,18,53,2,1,2,0,107.6,114
Fredy Guarín,Internazionale,Midfielder,13,309,2,39,0,26,75,18,53,2,1,2,0,107.6,114
Fredy Guarín,Internazionale,Midfielder,13,309,2,39,0,26,75,18,53,2,1,2,0,107.6,114
Gabi,Atlético de Madrid,Midfielder,16,176,0,50,0,20,80,18,49,3,0,5,1,104.6,114
Alberto Moreno,Liverpool,Defender,15,211,2,50,0,18,82,19,49,4,3,3,0,139.5,114
Renaud Cohade,St Etienne,Midfielder,17,97,1,43,0,12,77,17,46,2,0,2,0,107.275,113
Jérémy Morel,Marseille,Defender,15,244,0,0,0,1,84,23,58,9,0,3,0,131.8,113
Jordan Ferri,Lyon,Midfielder,17,214,1,28,0,17,85,20,45,1,0,4,0,110.25,113
Memphis Depay,PSV,Forward,11,390,9,34,0,22,74,16,58,1,0,2,0,105.665,113
Steve Mandanda,Marseille,Goalkeeper,20,406,6,0.95,0,2.5,2.63,93,35,82,33,1,0,95,113
