Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Tommaso Berni,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Davide Costa,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Michael Agazzi,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73.0,
Christian Abbiati,Milan,Goalkeeper,7,79,1,1.0,0,2.29,2.29,98,29,65,39,0,0,60.8,
Stefano Gori,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Samir Handanovic,Internazionale,Goalkeeper,19,168,7,1.32,0,2.26,1.72,91,47,72,32,1,0,89.2,
Juan Pablo Carrizo,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Tommaso Berni,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Davide Costa,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Michael Agazzi,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73.0,
Christian Abbiati,Milan,Goalkeeper,7,79,1,1.0,0,2.29,2.29,98,29,65,39,0,0,60.8,
Stefano Gori,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Samir Handanovic,Internazionale,Goalkeeper,19,168,7,1.32,0,2.26,1.72,91,47,72,32,1,0,89.2,
Juan Pablo Carrizo,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Tommaso Berni,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Davide Costa,Internazionale,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Michael Agazzi,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Diego López,Milan,Goalkeeper,11,157,3,1.27,0,2.45,2.45,82,55,68,37,1,0,73.0,
Christian Abbiati,Milan,Goalkeeper,7,79,1,1.0,0,2.29,2.29,98,29,65,39,0,0,60.8,
Stefano Gori,Milan,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
